date,close,volume,active_addresses,tx_count
2022-01-15,147.616,76110.88751119,365164,105728
2022-01-16,146.408,55897.26610614,327728,92286
2022-01-17,151.153,160015.56889237,395865,107642
2022-01-18,141.492,111846.75639602,369489,108548
2022-01-19,136.214,74622.28190931,379560,106689
2022-01-20,129.676,75740.3878704,373116,112915
2022-01-21,114.688,158606.4661316,370495,112427
2022-01-22,108.5,194991.87638419,353230,111399
2022-01-23,112.342,88164.1379021,368314,100447
2022-01-24,109.555,140605.58785171,355586,99776
2022-01-25,107.773,84286.85214665,420207,103577
2022-01-26,107.0,126822.64902555,416730,104448
2022-01-27,106.888,124476.76965229,428937,105275
2022-01-28,109.39,60247.91887053,449254,113097
2022-01-29,110.698,59984.25334024,429340,106971
2022-01-30,108.517,56709.78699166,351304,102402
2022-01-31,109.509,76807.34069617,447125,106179
2022-02-01,115.046,82187.75069831,475366,113235
2022-02-02,108.281,70959.92901605,512856,115505
2022-02-03,111.0,51201.05785086,469472,114734
2022-02-04,121.335,70627.05629251,430194,121244
2022-02-05,121.724,64458.07232402,306533,116363
2022-02-06,127.63,79145.15279196,287795,109666
2022-02-07,137.362,110662.24879036,292228,121757
2022-02-08,133.74,143331.39010572,321198,120682
2022-02-09,140.038,107605.112289,457883,117535
2022-02-10,134.505,108427.23628144,381504,117692
2022-02-11,125.639,76640.11489668,313061,118682
2022-02-12,126.596,61383.92117989,388140,113953
2022-02-13,125.548,43510.62406235,325821,109250
2022-02-14,124.544,60011.50466876,475987,117087
2022-02-15,131.651,54551.59693197,448815,121505
2022-02-16,127.74,60527.18463982,489858,119947
2022-02-17,116.268,70862.44363588,332753,117161
2022-02-18,114.804,130026.74772706,460554,122553
2022-02-19,115.578,52151.25374485,323325,116594
2022-02-20,110.563,47240.15885191,308433,115158
2022-02-21,102.719,51069.61442356,294886,118578
2022-02-22,107.509,56082.89904021,305842,115430
2022-02-23,105.319,46615.64203515,280254,113486
2022-02-24,104.15,130734.61266927,313056,124933
2022-02-25,109.275,62555.39798477,308553,125759
2022-02-26,108.128,65809.43669884,286449,115718
2022-02-27,102.956,54528.70249374,291586,112349
2022-02-28,113.844,62848.90368493,316540,126416
2022-03-01,112.553,54909.16803724,379016,128899
2022-03-02,110.403,52922.66915863,304561,122220
2022-03-03,111.74,52684.92073561,300940,125113
2022-03-04,101.012,62086.58263104,316237,126204
2022-03-05,104.923,28112.86538928,294597,124157
2022-03-06,101.084,30204.13279722,284803,117108
2022-03-07,98.357,46083.86788886,291346,119403
2022-03-08,100.746,47202.93172159,303314,122407
2022-03-09,106.845,57335.68342319,306745,117135
2022-03-10,102.549,52610.25413274,285984,114123
2022-03-11,104.536,44211.92671736,293512,114616
2022-03-12,105.537,26051.39330349,296138,117811
2022-03-13,101.598,28586.53569252,276378,110217
2022-03-14,105.582,39524.68228381,305647,116341
2022-03-15,106.868,37486.52989696,380245,124644
2022-03-16,111.284,58350.31002802,299089,119697
2022-03-17,110.182,34485.03239212,299640,115348
2022-03-18,111.928,26334.33288096,327248,118067
2022-03-19,116.761,42933.58142205,324493,116531
2022-03-20,114.907,47825.35663534,316250,104744
2022-03-21,116.068,36089.18521386,322152,119981
2022-03-22,122.739,60521.34402021,336833,111565
2022-03-23,122.485,40251.94493549,306381,105598
2022-03-24,126.465,47655.86515241,308934,106995
2022-03-25,123.887,38350.95957616,302767,107699
2022-03-26,124.788,22672.41919649,287642,97894
2022-03-27,129.636,36517.25681148,286134,98431
2022-03-28,127.505,61175.92226501,316519,110224
2022-03-29,130.008,50085.67677342,336617,118226
2022-03-30,131.121,49170.4514313,318561,122343
2022-03-31,123.885,93278.05948867,317799,114762
2022-04-01,124.755,43237.30695623,302620,119494
2022-04-02,124.883,38775.75958674,276060,114245
