date,close,volume,active_addresses,tx_count
2021-08-28,3244.26,37412.66410371,507968,1131721
2021-08-29,3223.62,46748.82737796,492972,1147150
2021-08-30,3228.83,80307.22290993,518590,1198993
2021-08-31,3430.01,102482.62160866,552051,1206314
2021-09-01,3828.02,100108.10309551,557664,1225104
2021-09-02,3785.73,62917.24209805,567054,1261258
2021-09-03,3940.1,67260.80662352,512273,1198777
2021-09-04,3886.9,42581.95562412,520028,1189085
2021-09-05,3949.88,42023.89851306,497385,1136467
2021-09-06,3926.36,41117.75164374,526971,1206493
2021-09-07,3433.6,119695.43437452,558574,1308071
2021-09-08,3498.42,88791.89836434,525184,1178449
2021-09-09,3425.22,67441.11234518,531348,1219850
2021-09-10,3208.86,75619.77822518,570843,1244706
2021-09-11,3266.99,52067.22041619,627702,1249438
2021-09-12,3404.41,48523.72809611,571552,1211328
2021-09-13,3283.63,72154.72606625,631800,1267491
2021-09-14,3434.68,58543.31966006,582576,1231240
2021-09-15,3615.04,65440.82496871,573831,1207590
2021-09-16,3567.89,72478.42923101,548933,1224358
2021-09-17,3399.0,68893.60571057,524419,1187578
2021-09-18,3435.29,58268.72194873,536378,1143196
2021-09-19,3327.98,57995.53371049,516797,1128226
2021-09-20,2976.77,127673.35587983,495259,1174559
2021-09-21,2765.51,158125.52843615,524490,1193295
2021-09-22,3077.69,110261.65560985,534705,1174030
2021-09-23,3152.45,90042.45351083,534321,1193053
2021-09-24,2927.35,140295.29739307,506369,1152685
2021-09-25,2922.12,82454.06551034,520155,1121078
2021-09-26,3059.17,90174.47894847,473719,1088537
2021-09-27,2924.95,92112.55590854,502882,1133903
2021-09-28,2804.19,103855.63853777,495482,1108122
2021-09-29,2850.54,74247.10543806,507212,1135869
2021-09-30,2999.96,87832.69226786,499026,1116157
2021-10-01,3309.59,110977.32279462,571554,1207263
2021-10-02,3386.73,74857.23587239,520147,1117899
2021-10-03,3417.8,89314.37690034,522882,1130224
2021-10-04,3386.05,115385.53256372,495268,1121513
2021-10-05,3515.17,109139.69054242,562663,1235674
2021-10-06,3573.64,145270.98131075,663597,1337833
2021-10-07,3587.72,120135.16515445,629637,1344295
2021-10-08,3562.84,83866.0296222,600443,1287034
2021-10-09,3575.74,47884.2434625,585763,1191856
2021-10-10,3414.5,78212.64190755,537497,1137901
2021-10-11,3541.38,86996.95225848,538818,1183486
2021-10-12,3491.45,84725.77261983,546484,1203566
2021-10-13,3607.7,82280.96632182,531985,1189854
2021-10-14,3791.25,86470.78764846,554283,1227097
2021-10-15,3869.96,99750.62280715,556421,1302993
2021-10-16,3831.24,69816.0344261,583223,1181031
2021-10-17,3847.1,79369.20125309,551918,1144184
2021-10-18,3745.91,85094.17234984,571994,1197673
2021-10-19,3877.38,85601.50190092,590941,1243503
